"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
		"n"	"INDONESIA"	"NORTH SUMATRA"	"SIBOLGA, SUMATRA"	1.718	98.797	371.942									1.6		5														
		"n"	"INDONESIA"	"NORTH SUMATRA"	"BARUS, SUMATRA"	2.008	98.403	318.212									1.7		5														
		"n"	"INDONESIA"	"ACEH"	"SIGLI, ACEH, SUMATRA"	5.388	95.962	229.437									3.1		5														
		"n"	"INDONESIA"	"NORTH SUMATRA"	"MUAWE VILLAGE, NIAS ISLAND"	1.401	97.212	260.1									2.8		5														
		"n"	"INDONESIA"	"NORTH SUMATRA"	"SIROMBU, NIAS ISLAND"	0.951	97.421	314.278									4.65		5														
		"n"	"INDONESIA"	"NORTH SUMATRA"	"GUNUNGSITOLI, NIAS ISLAND"	1.2667	97.5667	296.037									1.5		5														
		"n"	"MALDIVES"		"HANIMAADHOO, HAA DHAALU"	6.749	73.168	2543.7									2.01		5														
		"n"	"MALDIVES"		"HULHUMALE, NORTH MALE"	4.189	73.535	2481.035									3.37		5														
		"n"	"MALDIVES"		"HULHUMALE, NORTH MALE"	4.19	73.538	2480.705									1.64		5														
		"n"	"MALDIVES"		"HULHUMALE, NORTH MALE"	4.201	73.541	2480.403									2.03		5														
		"n"	"MALDIVES"		"LAGUNA BEACH RESORT, SOUTH MALE"	4.121	73.436	2491.844									0.78		5														
